[70161:70161:1128/083022.849215:WARNING:chrome_main_delegate.cc(660)] This is Chrome version 119.0.6045.105 (not a warning)
[70161:70183:1128/083023.228760:ERROR:bus.cc(407)] Failed to connect to the bus: Failed to connect to socket /run/user/1000/bus: No such file or directory
[70161:70183:1128/083023.229134:ERROR:bus.cc(407)] Failed to connect to the bus: Failed to connect to socket /run/user/1000/bus: No such file or directory
[70161:70183:1128/083023.229352:ERROR:bus.cc(407)] Failed to connect to the bus: Failed to connect to socket /run/user/1000/bus: No such file or directory
[70161:70161:1128/083059.029074:INFO:CONSOLE(800)] "Error: <svg> attribute height: Expected length, "var(--c-font-siz…".", source: https://coinmarketcap.com/currencies/bitcoin/ (800)
[70161:70161:1128/083059.029925:INFO:CONSOLE(800)] "Error: <svg> attribute width: Expected length, "var(--c-font-siz…".", source: https://coinmarketcap.com/currencies/bitcoin/ (800)
[70161:70161:1128/083059.030471:INFO:CONSOLE(800)] "Error: <svg> attribute height: Expected length, "var(--c-font-siz…".", source: https://coinmarketcap.com/currencies/bitcoin/ (800)
[70161:70161:1128/083059.031104:INFO:CONSOLE(800)] "Error: <svg> attribute width: Expected length, "var(--c-font-siz…".", source: https://coinmarketcap.com/currencies/bitcoin/ (800)
[70161:70161:1128/083059.031769:INFO:CONSOLE(800)] "Error: <svg> attribute height: Expected length, "var(--c-font-siz…".", source: https://coinmarketcap.com/currencies/bitcoin/ (800)
[70161:70161:1128/083059.032343:INFO:CONSOLE(800)] "Error: <svg> attribute width: Expected length, "var(--c-font-siz…".", source: https://coinmarketcap.com/currencies/bitcoin/ (800)
[70161:70161:1128/083059.032889:INFO:CONSOLE(800)] "Error: <svg> attribute height: Expected length, "var(--c-font-siz…".", source: https://coinmarketcap.com/currencies/bitcoin/ (800)
[70161:70161:1128/083059.033362:INFO:CONSOLE(800)] "Error: <svg> attribute width: Expected length, "var(--c-font-siz…".", source: https://coinmarketcap.com/currencies/bitcoin/ (800)
[70161:70161:1128/083059.033879:INFO:CONSOLE(800)] "Error: <svg> attribute height: Expected length, "var(--c-font-siz…".", source: https://coinmarketcap.com/currencies/bitcoin/ (800)
[70161:70161:1128/083059.034157:INFO:CONSOLE(800)] "Error: <svg> attribute width: Expected length, "var(--c-font-siz…".", source: https://coinmarketcap.com/currencies/bitcoin/ (800)
[70161:70161:1128/083059.034429:INFO:CONSOLE(800)] "Error: <svg> attribute height: Expected length, "var(--c-font-siz…".", source: https://coinmarketcap.com/currencies/bitcoin/ (800)
[70161:70161:1128/083059.034774:INFO:CONSOLE(800)] "Error: <svg> attribute width: Expected length, "var(--c-font-siz…".", source: https://coinmarketcap.com/currencies/bitcoin/ (800)
[70161:70161:1128/083059.035144:INFO:CONSOLE(800)] "Error: <svg> attribute height: Expected length, "var(--c-font-siz…".", source: https://coinmarketcap.com/currencies/bitcoin/ (800)
[70161:70161:1128/083059.035406:INFO:CONSOLE(800)] "Error: <svg> attribute width: Expected length, "var(--c-font-siz…".", source: https://coinmarketcap.com/currencies/bitcoin/ (800)
[70161:70161:1128/083059.035811:INFO:CONSOLE(800)] "Error: <svg> attribute height: Expected length, "var(--c-font-siz…".", source: https://coinmarketcap.com/currencies/bitcoin/ (800)
[70161:70161:1128/083059.036239:INFO:CONSOLE(800)] "Error: <svg> attribute width: Expected length, "var(--c-font-siz…".", source: https://coinmarketcap.com/currencies/bitcoin/ (800)
[70161:70161:1128/083059.036685:INFO:CONSOLE(800)] "Error: <svg> attribute height: Expected length, "var(--c-font-siz…".", source: https://coinmarketcap.com/currencies/bitcoin/ (800)
[70161:70161:1128/083059.036969:INFO:CONSOLE(800)] "Error: <svg> attribute width: Expected length, "var(--c-font-siz…".", source: https://coinmarketcap.com/currencies/bitcoin/ (800)
[70161:70161:1128/083059.091134:INFO:CONSOLE(800)] "Error: <svg> attribute height: Expected length, "var(--c-font-siz…".", source: https://coinmarketcap.com/currencies/bitcoin/ (800)
[70161:70161:1128/083059.091602:INFO:CONSOLE(800)] "Error: <svg> attribute width: Expected length, "var(--c-font-siz…".", source: https://coinmarketcap.com/currencies/bitcoin/ (800)
[70161:70161:1128/083059.091848:INFO:CONSOLE(800)] "Error: <svg> attribute height: Expected length, "var(--c-font-siz…".", source: https://coinmarketcap.com/currencies/bitcoin/ (800)
[70161:70161:1128/083059.092088:INFO:CONSOLE(800)] "Error: <svg> attribute width: Expected length, "var(--c-font-siz…".", source: https://coinmarketcap.com/currencies/bitcoin/ (800)
[70161:70161:1128/083059.092465:INFO:CONSOLE(800)] "Error: <svg> attribute height: Expected length, "var(--c-font-siz…".", source: https://coinmarketcap.com/currencies/bitcoin/ (800)
[70161:70161:1128/083059.092663:INFO:CONSOLE(800)] "Error: <svg> attribute width: Expected length, "var(--c-font-siz…".", source: https://coinmarketcap.com/currencies/bitcoin/ (800)
[70161:70161:1128/083059.092865:INFO:CONSOLE(800)] "Error: <svg> attribute height: Expected length, "var(--c-font-siz…".", source: https://coinmarketcap.com/currencies/bitcoin/ (800)
[70161:70161:1128/083059.093047:INFO:CONSOLE(800)] "Error: <svg> attribute width: Expected length, "var(--c-font-siz…".", source: https://coinmarketcap.com/currencies/bitcoin/ (800)
[70161:70161:1128/083059.093277:INFO:CONSOLE(800)] "Error: <svg> attribute height: Expected length, "var(--c-font-siz…".", source: https://coinmarketcap.com/currencies/bitcoin/ (800)
[70161:70161:1128/083059.093496:INFO:CONSOLE(800)] "Error: <svg> attribute width: Expected length, "var(--c-font-siz…".", source: https://coinmarketcap.com/currencies/bitcoin/ (800)
